,language,string,keywords,id,answertype,aggregation,onlydbo,hybrid,query.sparql,uri.type,uri.value,c.type,c.value,string.type,string.value,date.type,date.value
109,en,Who is the mayor of New York City?,"New York City, mayor",5,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri },uri,http://dbpedia.org/resource/Bill_de_Blasio,,,,,,
281,en,Which movies starring Brad Pitt were directed by Guy Ritchie?,"movies, starring, Brad Pitt, directed, Guy Ritchie",12,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Brad_Pitt ; dbo:director res:Guy_Ritchie },uri,http://dbpedia.org/resource/Snatch_(film),,,,,,
282,en,Give me the grandchildren of Bruce Lee.,"Bruce Lee, grandchildren",13,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Lee dbo:child ?child . ?child <http://dbpedia.org/property/children> ?uri },,,literal,1,,,,
283,en,Which other weapons did the designer of the Uzi develop?,"Uzi, designer, develop, weapon",14,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Weapon ; dbp:designer ?x . res:Uzi dbp:designer ?x FILTER ( ?uri != res:Uzi ) },uri,http://dbpedia.org/resource/Minebea_PM-9,,,,,,
284,en,Who is the owner of Universal Studios?,"Universal Studios, owner",15,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Universal_Studios dbo:owner ?uri },uri,http://dbpedia.org/resource/Comcast,,,,,,
285,en,Which state of the USA has the highest population density?,"state, USA, population density, highest",16,resource,False,False,False,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1,uri,http://dbpedia.org/resource/New_Jersey,,,,,,
866,en,Who wrote the book The pillars of the Earth?,"wrote, book, The pillars of the Earth",21,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },uri,http://dbpedia.org/resource/Ken_Follett,,,,,,
867,en,Which state of the United States of America has the highest density?,"state, united, states, america, highest, density",22,resource,False,False,False,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1,uri,http://dbpedia.org/resource/New_Jersey,,,,,,
978,en,How deep is Lake Placid?,"Lake Placid, depth",28,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> dbo:maximumDepth ?n },,,literal,12.192,,,,
1108,en,Who is the tallest player of the Atlanta Falcons?,"Atlanta Falcons, player, tallest",31,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> ; <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Matt_Schaub,,,,,,
